"AlCl3 DI Blue - RawData"
"Wavelength nm.","T%"
1324.00,2.918
1325.00,2.940
1326.00,2.951
1327.00,2.957
1328.00,2.944
1329.00,2.929
1330.00,2.897
1331.00,2.951
1332.00,2.965
1333.00,3.009
1334.00,2.971
1335.00,2.984
1336.00,2.979
1337.00,2.995
1338.00,3.025
1339.00,3.005
1340.00,3.004
1341.00,2.964
1342.00,3.006
1343.00,2.980
1344.00,3.021
1345.00,3.004
1346.00,3.064
1347.00,3.033
1348.00,3.049
1349.00,3.042
1350.00,3.045
1351.00,3.059
1352.00,3.053
1353.00,3.098
1354.00,3.079
1355.00,3.098
1356.00,3.102
1357.00,3.159
1358.00,3.151
1359.00,3.135
1360.00,3.124
1361.00,3.150
1362.00,3.178
1363.00,3.138
1364.00,3.146
1365.00,3.117
1366.00,3.167
1367.00,3.188
1368.00,3.229
1369.00,3.201
1370.00,3.175
1371.00,3.143
1372.00,3.166
1373.00,3.151
1374.00,3.204
1375.00,3.199
1376.00,3.225
1377.00,3.186
1378.00,3.173
1379.00,3.166
1380.00,3.219
1381.00,3.276
1382.00,3.303
1383.00,3.303
1384.00,3.301
1385.00,3.346
1386.00,3.335
1387.00,3.361
1388.00,3.279
1389.00,3.293
1390.00,3.259
1391.00,3.276
1392.00,3.260
1393.00,3.281
1394.00,3.365
1395.00,3.383
1396.00,3.355
1397.00,3.354
1398.00,3.390
1399.00,3.387
1400.00,3.320
